x1,y1,theta1,phi1,v1,a1
-0.489738,141.797,1.57156,-0.000793966,38.7516,1.51691
-0.491287,145.679,1.57085,-0.000666703,38.895,1.35171
-0.490318,149.575,1.57027,-0.000536864,39.0221,1.19113
-0.4873,153.483,1.5698,-0.00040671,39.1335,1.0354
-0.482714,157.401,1.56947,-0.000278519,39.2295,0.884705
-0.477043,161.328,1.56926,-0.000154522,39.3107,0.739233
-0.470759,165.263,1.56916,-3.68325e-05,39.3776,0.599133
-0.464319,169.203,1.56918,7.26184e-05,39.4308,0.464542
-0.458146,173.149,1.5693,0.000172148,39.4708,0.335575
-0.452632,177.097,1.56951,0.000260386,39.4982,0.212326
-0.448122,181.048,1.56981,0.000336333,39.5135,0.094873
-0.444916,184.999,1.57017,0.000399425,39.5174,-0.0167289
-0.443261,188.951,1.57059,0.000449593,39.5105,-0.122443
-0.443352,192.901,1.57105,0.000487328,39.4932,-0.22225
-0.445336,196.849,1.57155,0.00051375,39.4663,-0.316154
-0.449311,200.794,1.57206,0.000530016,39.4303,-0.404173
-0.455335,204.735,1.57259,0.000537312,39.3858,-0.486346
-0.463429,208.671,1.57312,0.000536833,39.3333,-0.562732
-0.473582,212.601,1.57364,0.000529777,39.2735,-0.633406
-0.485756,216.525,1.57415,0.000517338,39.2069,-0.698463
-0.499892,220.443,1.57465,0.000500693,39.1341,-0.758016
-0.515914,224.352,1.57513,0.000480999,39.0556,-0.812194
-0.533733,228.253,1.57559,0.000459373,38.9719,-0.861146
-0.553255,232.146,1.57603,0.000436876,38.8836,-0.90504
-0.574381,236.03,1.57644,0.000414481,38.7912,-0.944059
-0.597014,239.904,1.57683,0.000393048,38.695,-0.978406
-0.62106,243.769,1.5772,0.000373285,38.5957,-1.0083
-0.646433,247.623,1.57755,0.000355728,38.4936,-1.03398
-0.673056,251.467,1.57789,0.000340725,38.3891,-1.0557
-0.70086,255.301,1.57821,0.000328436,38.2826,-1.07373
-0.729791,259.123,1.57852,0.000318841,38.1745,-1.08837
-0.7598,262.935,1.57882,0.000311766,38.0651,-1.09991
-0.790852,266.736,1.57911,0.000306909,37.9547,-1.10869
-0.822918,270.526,1.5794,0.000303879,37.8435,-1.11505
-0.855977,274.305,1.57969,0.000302234,37.7318,-1.11935
-0.890012,278.072,1.57997,0.000301523,37.6197,-1.12197
-0.925012,281.828,1.58026,0.000301331,37.5075,-1.12329
-0.960965,285.573,1.58054,0.000301331,37.3951,-1.12374
-0.997863,289.307,1.58082,0.000301331,37.2827,-1.12374
