x1,y1,theta1,phi1,v1,a1
2.5,-10,1.5708,0,10,0
2.49994,-8.999,1.57098,0.00146459,10.0301,0.602397
2.49952,-7.99202,1.5715,0.00269929,10.1189,1.17335
2.4984,-6.97336,1.57232,0.00372219,10.2632,1.71335
2.49628,-5.93763,1.57339,0.00455018,10.4601,2.22291
2.49287,-4.87971,1.57468,0.00519912,10.7063,2.70256
2.48786,-3.79483,1.57616,0.0056841,10.9991,3.15284
2.48097,-2.67847,1.57779,0.00601954,11.3355,3.57431
2.4719,-1.52644,1.57956,0.00621936,11.7125,3.96753
2.46036,-0.33479,1.58142,0.00629704,12.1276,4.33309
2.44604,0.900115,1.58336,0.00626575,12.5778,4.67157
2.42866,2.18166,1.58535,0.00613836,13.0606,4.98357
2.40794,3.51295,1.58735,0.00592744,13.5732,5.26969
2.38363,4.89684,1.58936,0.00564535,14.1132,5.53057
2.35549,6.33593,1.59133,0.00530412,14.6781,5.7668
2.32331,7.83259,1.59324,0.00491546,15.2654,5.97904
2.28693,9.38891,1.59507,0.00449072,15.8728,6.1679
2.24623,11.0068,1.59679,0.00404074,16.4979,6.33404
2.20115,12.6879,1.59839,0.00357585,17.1385,6.47811
2.15165,14.4336,1.59985,0.0031057,17.7924,6.60074
2.09779,16.2452,1.60115,0.0026392,18.4576,6.70262
2.03965,18.1237,1.60228,0.00218439,19.1319,6.78439
1.97738,20.07,1.60324,0.00174834,19.8135,6.84673
1.91118,22.0845,1.60402,0.00133706,20.5003,6.89031
1.84128,24.1679,1.60462,0.000955414,21.1906,6.91581
1.76797,26.3203,1.60504,0.000607065,21.8826,6.92391
1.69157,28.5418,1.60529,0.000294417,22.5746,6.91531
1.61241,30.8325,1.60537,1.86235e-05,23.2649,6.89069
1.53083,33.1919,1.60531,-0.000220391,23.952,6.85075
1.4472,35.6199,1.60512,-0.000423855,24.6343,6.7962
1.36188,38.1157,1.6048,-0.000594034,25.3105,6.72775
1.27522,40.6788,1.60437,-0.000734054,25.9792,6.6461
1.18756,43.3083,1.60385,-0.000847665,26.6391,6.55198
1.09923,46.0034,1.60325,-0.000938945,27.289,6.44612
1.01056,48.7629,1.60258,-0.00101192,27.9278,6.32925
0.921839,51.5857,1.60184,-0.00107012,28.5543,6.2021
0.833375,54.4706,1.60105,-0.00111771,29.1677,6.06542
0.74545,57.4161,1.60022,-0.00115919,29.767,5.91997
0.658352,60.4209,1.59933,-0.00119884,30.3513,5.76648
0.572369,63.4834,1.5984,-0.00123942,30.9199,5.60572
0.487802,66.602,1.59741,-0.00128191,31.4721,5.43843
0.404962,69.775,1.59638,-0.00132571,32.0073,5.26534
0.32417,73.0007,1.59529,-0.00136965,32.5249,5.08715
0.245754,76.2774,1.59415,-0.00141243,33.0245,4.90455
0.170041,79.6032,1.59296,-0.00145274,33.5057,4.7182
0.0973573,82.9763,1.59172,-0.00148936,33.968,4.52876
0.0280193,86.3947,1.59043,-0.00152112,34.4113,4.33686
-0.0376713,89.8566,1.5891,-0.00154683,34.8353,4.14308
-0.0994324,93.3599,1.58774,-0.00156526,35.2398,3.94802
-0.157008,96.9029,1.58635,-0.00157514,35.6249,3.75224
-0.210177,100.483,1.58494,-0.00157522,35.9903,3.55627
-0.258755,104.1,1.58352,-0.00156436,36.3361,3.36061
-0.302605,107.749,1.5821,-0.00154165,36.6624,3.16577
-0.34164,111.431,1.5807,-0.00150641,36.9693,2.97219
-0.375832,115.142,1.57932,-0.00145825,37.257,2.78032
-0.40521,118.881,1.57799,-0.00139709,37.5255,2.59056
-0.429865,122.647,1.57671,-0.00132318,37.7752,2.40332
-0.44995,126.436,1.5755,-0.00123709,38.0063,2.21896
-0.465681,130.247,1.57437,-0.00113974,38.2192,2.03783
-0.47733,134.079,1.57332,-0.00103237,38.4141,1.86025
-0.485224,137.929,1.57239,-0.000916519,38.5914,1.68651
